Date,Industrial production index
2013-03-31 00:00:00,87.2576668925
2013-04-30 00:00:00,88.6075092533
2013-05-31 00:00:00,86.9383968776
2013-06-30 00:00:00,87.0351025471
2013-07-31 00:00:00,87.2285138861
2013-08-31 00:00:00,89.1375112818
2013-09-30 00:00:00,86.6786055015
2013-10-31 00:00:00,86.0949111883
2013-11-30 00:00:00,86.4840407304
2013-12-31 00:00:00,86.3867583449
2014-01-31 00:00:00,
2014-02-28 00:00:00,
