,Industrial production index
2013-03-31 00:00:00,-4.3830388226
2013-04-30 00:00:00,-1.9097324967
2013-05-31 00:00:00,-5.05962975278
2013-06-30 00:00:00,-3.04125098931
2013-07-31 00:00:00,-3.27371062481
2013-08-31 00:00:00,-1.05011220537
2013-09-30 00:00:00,-2.51641137856
2013-10-31 00:00:00,-2.03777437871
2013-11-30 00:00:00,-3.21410609638
2013-12-31 00:00:00,-1.80375125529
2014-01-31 00:00:00,
2014-02-28 00:00:00,
